,Y1,Y2,pIPO,pH,pL,Pmid,C6p
0,0,1,10.0,9.5,8.5,9.0,11.111111111111107
1,1,0,8.0,10.0,8.0,9.0,0.0
2,1,0,7.0,14.0,12.0,13.0,0.0
3,1,1,11.5,16.0,14.0,15.0,0.0
4,0,1,21.0,21.0,19.0,20.0,5.0
5,0,1,13.5,14.5,12.5,13.5,0.0
6,1,1,6.0,13.0,11.0,12.0,0.0
7,1,0,5.0,14.0,12.0,13.0,0.0
8,1,1,15.0,18.0,16.0,17.0,0.0
9,1,0,9.0,19.0,17.0,18.0,0.0
10,0,0,,,,,0.0
11,1,1,5.0,9.0,8.0,8.5,0.0
12,0,1,16.0,16.0,14.0,15.0,6.666666666666668
13,0,1,25.0,24.0,22.0,23.0,8.695652173913043
14,1,1,14.5,16.0,15.0,15.5,0.0
15,1,1,12.0,16.0,14.0,15.0,0.0
16,0,1,11.0,12.0,10.0,11.0,0.0
17,1,1,13.5,16.0,14.0,15.0,0.0
18,1,1,7.0,10.0,8.0,9.0,0.0
19,0,1,18.0,17.0,15.0,16.0,12.5
20,1,0,11.0,17.0,15.0,16.0,0.0
21,0,1,16.0,16.0,14.0,15.0,6.666666666666668
22,0,1,13.0,14.0,12.0,13.0,0.0
23,1,1,6.0,8.0,6.0,7.0,0.0
24,0,1,15.0,16.0,14.0,15.0,0.0
25,1,1,8.0,12.0,10.0,11.0,0.0
26,1,1,6.0,11.0,9.0,10.0,0.0
27,0,1,20.0,20.0,18.0,19.0,5.263157894736842
28,1,1,10.0,16.0,14.0,15.0,0.0
29,1,1,5.0,18.0,16.0,17.0,0.0
30,1,0,10.0,15.0,13.0,14.0,0.0
31,0,1,13.0,13.0,11.0,12.0,8.333333333333332
32,1,1,11.0,14.0,12.0,13.0,0.0
33,0,1,13.5,9.5,8.0,8.75,54.28571428571429
34,0,0,18.0,20.0,16.0,18.0,0.0
35,0,1,20.0,19.0,18.0,18.5,8.108108108108109
36,0,1,9.5,7.5,6.5,7.0,35.714285714285715
37,0,1,18.0,18.0,17.0,17.5,2.8571428571428568
38,0,1,17.5,16.0,14.0,15.0,16.666666666666664
39,0,1,16.5,17.0,15.0,16.0,3.125
40,0,1,17.0,15.0,13.0,14.0,21.428571428571427
41,1,1,12.0,16.0,14.0,15.0,0.0
42,0,1,21.0,18.0,16.0,17.0,23.529411764705877
43,1,1,13.0,16.0,14.0,15.0,0.0
44,1,0,9.0,11.0,9.0,10.0,0.0
45,1,1,6.0,14.0,12.0,13.0,0.0
46,0,1,11.0,10.0,8.0,9.0,22.222222222222214
47,1,1,11.0,15.0,13.0,14.0,0.0
48,1,0,9.0,12.0,11.0,11.5,0.0
49,0,1,18.0,16.0,14.0,15.0,20.0
50,1,1,12.0,14.0,12.0,13.0,0.0
51,1,0,7.5,9.0,8.0,8.5,0.0
52,0,1,17.0,16.0,14.0,15.0,13.333333333333336
53,1,0,9.0,15.0,13.0,14.0,0.0
54,0,1,15.0,15.0,13.0,14.0,7.142857142857142
55,1,0,10.0,14.0,12.0,13.0,0.0
56,0,0,43.0,43.0,40.0,41.5,3.6144578313253017
57,1,0,10.5,12.0,10.0,11.0,0.0
58,0,1,27.0,27.0,24.0,25.5,5.882352941176469
59,1,0,21.0,26.0,24.0,25.0,0.0
60,0,1,23.0,23.0,21.0,22.0,4.545454545454546
61,1,1,18.0,21.0,19.0,20.0,0.0
62,1,1,17.0,19.0,17.0,18.0,0.0
63,1,0,14.0,16.0,14.0,15.0,0.0
64,0,1,22.0,17.0,15.0,16.0,37.5
65,0,1,20.0,12.0,11.0,11.5,73.91304347826086
66,0,1,14.0,15.0,13.0,14.0,0.0
67,0,1,25.0,23.0,20.0,21.5,16.27906976744186
68,0,1,13.0,12.0,10.0,11.0,18.181818181818183
69,1,1,14.0,16.0,14.0,15.0,0.0
70,0,1,20.0,18.0,16.0,17.0,17.647058823529417
71,0,1,11.0,12.0,10.0,11.0,0.0
72,0,1,15.5,15.0,13.0,14.0,10.714285714285714
73,1,0,13.0,15.0,12.0,13.5,0.0
74,1,0,18.0,20.0,18.0,19.0,0.0
75,0,0,13.0,14.0,12.0,13.0,0.0
76,0,1,22.0,21.0,19.0,20.0,10.0
77,1,1,8.0,11.0,9.0,10.0,0.0
78,1,0,5.25,16.0,14.0,15.0,0.0
79,0,1,15.0,16.0,14.0,15.0,0.0
80,1,1,10.5,14.0,13.0,13.5,0.0
81,0,1,17.0,17.0,15.0,16.0,6.25
82,0,1,7.75,8.0,7.0,7.5,3.333333333333333
83,1,1,11.0,15.0,13.0,14.0,0.0
84,0,1,17.0,17.0,16.0,16.5,3.0303030303030303
85,1,1,5.0,6.0,5.0,5.5,0.0
86,0,0,,,,,0.0
87,1,1,8.0,13.0,11.0,12.0,0.0
88,0,1,19.0,18.0,16.0,17.0,11.764705882352938
89,1,0,13.0,16.0,14.0,15.0,0.0
90,1,1,10.0,18.0,16.0,17.0,0.0
91,1,1,10.5,16.0,14.0,15.0,0.0
92,0,1,17.0,16.0,14.0,15.0,13.333333333333336
93,1,0,9.0,11.0,9.0,10.0,0.0
94,0,0,15.0,16.0,14.0,15.0,0.0
95,0,1,9.5,10.0,8.0,9.0,5.5555555555555545
96,0,1,12.0,10.0,8.0,9.0,33.33333333333333
97,0,0,17.0,16.0,14.0,15.0,13.333333333333336
98,0,1,12.0,12.0,10.0,11.0,9.090909090909092
99,1,0,15.0,18.0,16.0,17.0,0.0
100,0,1,20.0,17.0,15.0,16.0,25.0
101,0,1,5.5,6.0,5.0,5.5,0.0
102,1,1,9.0,15.0,11.0,13.0,0.0
103,0,1,14.0,14.0,12.0,13.0,7.6923076923076925
104,0,0,10.0,11.0,9.0,10.0,0.0
105,0,1,13.0,13.0,11.0,12.0,8.333333333333332
106,0,0,15.0,16.0,14.0,15.0,0.0
107,1,1,10.0,17.0,15.0,16.0,0.0
108,1,0,10.0,16.0,14.0,15.0,0.0
109,1,0,12.0,14.0,13.0,13.5,0.0
110,0,0,14.0,15.0,13.0,14.0,0.0
111,1,1,18.0,22.0,20.0,21.0,0.0
112,0,1,19.0,19.0,17.0,18.0,5.5555555555555545
113,1,1,5.25,7.0,6.0,6.5,0.0
114,1,0,16.0,21.0,19.0,20.0,0.0
115,1,0,4.5,6.5,5.5,6.0,0.0
116,1,1,6.0,13.0,11.0,12.0,0.0
117,0,1,15.0,15.0,13.0,14.0,7.142857142857142
118,1,1,13.0,17.0,16.0,16.5,0.0
119,0,0,16.0,17.0,15.0,16.0,0.0
120,0,1,18.0,17.0,15.0,16.0,12.5
121,0,1,16.0,16.0,14.0,15.0,6.666666666666668
122,0,1,15.0,16.0,14.0,15.0,0.0
123,1,0,3.0,5.0,4.0,4.5,0.0
124,0,1,17.0,17.0,15.0,16.0,6.25
125,1,0,15.0,18.0,16.0,17.0,0.0
126,1,0,13.0,17.0,15.0,16.0,0.0
127,1,1,13.0,18.0,16.0,17.0,0.0
128,0,0,25.0,25.0,23.0,24.0,4.166666666666666
129,0,1,13.5,12.0,10.0,11.0,22.72727272727273
130,1,1,13.0,15.0,13.0,14.0,0.0
131,1,1,13.0,16.0,14.0,15.0,0.0
132,1,1,9.0,12.0,10.0,11.0,0.0
133,1,1,12.0,14.0,12.0,13.0,0.0
134,0,1,12.0,12.0,10.0,11.0,9.090909090909092
135,0,1,16.0,16.0,14.0,15.0,6.666666666666668
136,0,1,18.0,17.0,15.0,16.0,12.5
137,0,0,14.0,14.0,12.0,13.0,7.6923076923076925
138,0,1,13.0,13.0,11.0,12.0,8.333333333333332
139,1,1,12.0,17.0,15.0,16.0,0.0
140,0,0,18.0,18.0,16.0,17.0,5.882352941176469
141,0,0,17.0,16.0,14.0,15.0,13.333333333333336
142,0,1,24.0,24.0,22.0,23.0,4.3478260869565215
143,1,1,10.0,12.0,10.0,11.0,0.0
144,1,0,16.0,20.0,18.0,19.0,0.0
145,0,0,19.0,19.0,17.0,18.0,5.5555555555555545
146,1,1,13.0,16.0,13.0,14.5,0.0
147,0,0,21.0,20.0,19.0,19.5,7.6923076923076925
148,1,0,19.0,21.0,19.0,20.0,0.0
149,1,0,11.0,13.0,11.0,12.0,0.0
150,0,0,14.0,13.0,11.0,12.0,16.666666666666664
151,0,1,15.0,15.0,13.0,14.0,7.142857142857142
152,1,1,11.0,16.0,14.0,15.0,0.0
153,0,1,16.0,14.0,12.0,13.0,23.07692307692308
154,0,0,13.0,14.0,12.0,13.0,0.0
155,0,1,14.0,14.0,12.0,13.0,7.6923076923076925
156,1,1,13.0,17.0,15.0,16.0,0.0
157,0,1,19.0,20.0,18.0,19.0,0.0
158,1,1,11.5,16.0,14.0,15.0,0.0
159,0,1,15.0,14.0,12.0,13.0,15.384615384615385
160,0,1,13.0,13.0,11.0,12.0,8.333333333333332
161,0,1,9.0,10.0,8.0,9.0,0.0
162,0,1,11.0,11.0,9.0,10.0,10.0
163,1,1,6.1,9.0,6.0,7.5,0.0
164,1,0,15.0,17.0,15.0,16.0,0.0
165,1,0,8.5,12.0,10.0,11.0,0.0
166,0,1,15.0,13.5,11.5,12.5,20.0
167,0,1,15.0,16.0,14.0,15.0,0.0
168,0,0,16.0,17.0,15.0,16.0,0.0
169,1,1,19.0,26.0,23.0,24.5,0.0
170,1,1,21.0,23.0,21.0,22.0,0.0
171,0,1,13.0,13.0,11.0,12.0,8.333333333333332
172,0,1,16.0,14.0,12.0,13.0,23.07692307692308
173,0,1,16.0,16.0,14.0,15.0,6.666666666666668
174,0,1,18.0,18.0,16.0,17.0,5.882352941176469
175,0,1,14.5,15.5,13.5,14.5,0.0
176,0,0,11.0,12.0,10.0,11.0,0.0
177,0,1,17.0,16.0,14.0,15.0,13.333333333333336
178,1,0,7.0,12.0,10.0,11.0,0.0
179,0,1,17.0,16.0,14.0,15.0,13.333333333333336
180,0,1,19.0,18.0,16.0,17.0,11.764705882352938
181,1,0,12.5,15.0,13.0,14.0,0.0
182,1,0,14.0,17.0,15.0,16.0,0.0
183,0,1,21.0,21.0,19.0,20.0,5.0
184,1,1,9.0,13.0,11.0,12.0,0.0
185,1,0,12.0,15.0,13.0,14.0,0.0
186,0,0,19.0,17.0,15.0,16.0,18.75
187,0,1,17.0,16.0,14.0,15.0,13.333333333333336
188,1,1,7.5,14.0,12.0,13.0,0.0
189,1,0,15.0,17.0,15.0,16.0,0.0
190,1,0,13.0,16.0,14.0,15.0,0.0
191,0,1,28.0,25.0,23.0,24.0,16.666666666666664
192,0,1,16.0,14.5,12.5,13.5,18.51851851851852
193,0,1,12.0,12.0,10.0,11.0,9.090909090909092
194,1,0,12.0,14.0,12.0,13.0,0.0
195,1,0,8.5,10.5,8.5,9.5,0.0
196,1,0,12.5,16.0,14.0,15.0,0.0
197,0,1,14.0,15.0,13.0,14.0,0.0
198,1,1,6.0,15.0,13.0,14.0,0.0
199,1,0,11.0,16.0,14.0,15.0,0.0
200,1,1,18.0,20.0,18.0,19.0,0.0
201,1,1,11.0,16.0,14.0,15.0,0.0
202,0,0,15.5,16.0,14.0,15.0,3.333333333333333
203,1,0,4.0,6.0,4.0,5.0,0.0
204,0,1,11.5,11.5,9.5,10.5,9.523809523809524
205,0,1,15.5,15.5,13.5,14.5,6.896551724137932
206,1,1,13.0,15.0,13.0,14.0,0.0
207,1,1,6.0,7.0,6.0,6.5,0.0
208,1,0,16.0,22.0,20.0,21.0,0.0
209,1,1,14.0,16.0,14.0,15.0,0.0
210,1,1,6.0,8.0,6.0,7.0,0.0
211,1,1,9.0,10.0,9.0,9.5,0.0
212,1,1,12.0,18.0,16.0,17.0,0.0
213,0,1,16.0,15.0,13.0,14.0,14.285714285714285
214,0,1,8.5,9.0,7.0,8.0,6.25
215,0,0,7.0,,,,0.0
216,1,1,8.0,9.0,8.0,8.5,0.0
217,1,0,16.0,19.0,17.0,18.0,0.0
218,1,1,14.0,18.0,16.0,17.0,0.0
219,1,0,10.0,13.0,11.0,12.0,0.0
220,1,1,16.0,18.0,16.0,17.0,0.0
221,0,1,13.5,12.0,10.0,11.0,22.72727272727273
222,1,0,17.0,20.0,18.0,19.0,0.0
223,0,1,21.0,20.0,18.0,19.0,10.526315789473683
224,0,1,17.0,17.0,15.0,16.0,6.25
225,1,0,17.5,19.0,17.0,18.0,0.0
226,0,1,38.0,38.0,34.0,36.0,5.5555555555555545
227,0,0,22.0,19.0,17.0,18.0,22.222222222222214
228,1,0,10.0,12.0,10.0,11.0,0.0
229,0,1,19.0,18.0,16.0,17.0,11.764705882352938
230,0,1,15.0,14.0,12.0,13.0,15.384615384615385
231,0,1,17.0,17.0,15.0,16.0,6.25
232,1,1,23.0,26.0,23.0,24.5,0.0
233,0,1,17.0,17.0,15.0,16.0,6.25
234,1,1,10.0,14.0,12.0,13.0,0.0
235,1,1,9.0,13.0,11.0,12.0,0.0
236,0,0,15.0,16.0,14.0,15.0,0.0
237,0,1,14.0,14.0,12.0,13.0,7.6923076923076925
238,0,1,17.0,16.0,14.0,15.0,13.333333333333336
239,1,0,18.5,20.0,18.0,19.0,0.0
240,1,1,18.0,24.0,22.0,23.0,0.0
241,0,1,20.0,19.0,17.0,18.0,11.111111111111107
242,1,0,12.0,14.0,12.0,13.0,0.0
243,0,1,13.0,14.0,12.0,13.0,0.0
244,0,0,12.5,11.0,9.0,10.0,25.0
245,0,1,9.0,9.0,7.0,8.0,12.5
246,1,1,14.0,18.0,16.0,17.0,0.0
247,1,0,14.5,16.0,14.0,15.0,0.0
248,0,1,15.0,15.0,13.0,14.0,7.142857142857142
249,0,1,18.0,18.0,16.0,17.0,5.882352941176469
250,1,0,12.0,17.0,15.0,16.0,0.0
251,0,1,14.0,13.0,11.0,12.0,16.666666666666664
252,1,0,12.0,14.0,12.0,13.0,0.0
253,1,1,11.0,16.0,14.0,15.0,0.0
254,1,0,14.0,18.0,16.0,17.0,0.0
255,0,1,11.5,12.0,10.0,11.0,4.545454545454546
256,1,1,11.0,15.0,13.0,14.0,0.0
257,1,1,12.0,13.0,12.0,12.5,0.0
258,1,0,10.0,15.0,13.0,14.0,0.0
259,0,1,16.0,16.0,14.0,15.0,6.666666666666668
260,1,0,6.0,7.0,6.0,6.5,0.0
261,1,0,9.0,14.0,12.0,13.0,0.0
262,1,0,13.0,17.0,15.0,16.0,0.0
263,1,0,11.5,16.0,14.0,15.0,0.0
264,1,0,85.0,135.0,108.0,121.5,0.0
265,0,1,20.0,18.0,16.0,17.0,17.647058823529417
266,0,0,17.0,18.0,16.0,17.0,0.0
267,1,1,9.0,11.0,8.0,9.5,0.0
268,0,0,18.0,,,,0.0
269,1,1,13.0,16.0,14.0,15.0,0.0
270,1,1,9.0,13.0,9.0,11.0,0.0
271,0,0,14.5,15.0,13.0,14.0,3.571428571428571
272,1,1,11.5,14.5,12.5,13.5,0.0
273,1,1,10.0,13.0,11.0,12.0,0.0
274,0,1,17.0,16.0,14.0,15.0,13.333333333333336
275,0,1,30.0,30.0,27.0,28.5,5.263157894736842
276,0,1,11.5,12.5,10.5,11.5,0.0
277,0,1,18.0,17.0,15.0,16.0,12.5
278,1,1,5.5,8.0,6.0,7.0,0.0
279,0,0,20.0,20.0,18.0,19.0,5.263157894736842
280,1,1,13.0,17.0,15.0,16.0,0.0
281,1,0,15.0,17.0,15.0,16.0,0.0
282,0,1,17.0,16.0,14.0,15.0,13.333333333333336
283,0,1,21.0,18.0,16.0,17.0,23.529411764705877
284,0,1,12.0,13.0,11.0,12.0,0.0
285,1,0,12.0,13.0,12.0,12.5,0.0
286,1,0,3.25,4.0,3.0,3.5,0.0
287,1,1,10.0,13.0,11.0,12.0,0.0
288,0,1,18.0,16.0,14.0,15.0,20.0
289,1,1,10.0,17.0,15.0,16.0,0.0
290,0,1,19.5,18.0,16.0,17.0,14.705882352941178
291,1,1,15.0,18.0,16.0,17.0,0.0
292,0,1,23.0,23.0,21.0,22.0,4.545454545454546
293,0,1,15.0,16.0,14.0,15.0,0.0
294,1,1,15.0,17.0,15.0,16.0,0.0
295,1,1,12.0,16.0,14.0,15.0,0.0
296,0,1,15.0,15.0,13.0,14.0,7.142857142857142
297,1,0,16.0,19.0,17.0,18.0,0.0
298,0,0,6.0,6.5,5.5,6.0,0.0
299,0,1,12.0,12.0,10.0,11.0,9.090909090909092
300,1,0,13.0,16.0,14.0,15.0,0.0
301,0,1,13.0,13.0,11.0,12.0,8.333333333333332
302,1,0,10.0,14.0,12.0,13.0,0.0
303,1,1,8.0,11.0,9.0,10.0,0.0
304,1,0,8.0,10.0,8.0,9.0,0.0
305,1,0,8.0,12.0,10.0,11.0,0.0
306,1,1,7.0,12.0,10.0,11.0,0.0
307,0,1,19.0,17.0,15.0,16.0,18.75
308,1,1,7.5,8.5,7.0,7.75,0.0
309,0,1,9.0,9.0,8.0,8.5,5.882352941176469
310,1,0,7.0,9.0,7.0,8.0,0.0
311,0,1,14.0,11.0,9.0,10.0,40.0
312,0,1,16.0,17.0,15.0,16.0,0.0
313,1,0,8.0,12.0,10.0,11.0,0.0
314,0,1,16.5,15.5,13.5,14.5,13.79310344827586
315,0,1,12.0,12.0,10.0,11.0,9.090909090909092
316,1,1,12.0,13.0,12.0,12.5,0.0
317,0,1,32.0,29.0,27.0,28.0,14.285714285714285
318,0,1,16.0,16.0,14.0,15.0,6.666666666666668
319,1,1,11.25,16.0,14.0,15.0,0.0
320,0,1,13.0,12.0,11.0,11.5,13.043478260869565
321,0,0,23.0,21.0,19.0,20.0,15.0
322,1,1,6.0,11.0,9.0,10.0,0.0
323,0,1,14.0,13.0,11.0,12.0,16.666666666666664
324,0,1,19.0,20.0,18.0,19.0,0.0
325,1,0,10.0,13.0,11.0,12.0,0.0
326,1,1,12.0,17.0,15.0,16.0,0.0
327,1,1,13.0,15.0,13.0,14.0,0.0
328,0,1,30.0,29.0,27.0,28.0,7.142857142857142
329,1,1,10.0,12.0,10.0,11.0,0.0
330,0,0,,,,,0.0
331,1,0,15.0,21.0,19.0,20.0,0.0
332,0,0,8.0,0.0,8.0,4.0,100.0
333,1,1,9.0,14.0,12.0,13.0,0.0
334,1,1,7.0,10.0,8.0,9.0,0.0
335,1,1,12.0,16.0,14.0,15.0,0.0
336,0,1,11.0,11.0,10.0,10.5,4.761904761904762
337,0,1,20.0,19.0,17.0,18.0,11.111111111111107
338,1,1,13.5,18.0,16.0,17.0,0.0
